Old Reference         New Reference
-----------------------------------
D12                   D1                  
D11                   D2                  
D10                   D3                  
D9                    D4                  
D8                    D5                  
D13                   D6                  
D14                   D7                  
D4                    D8                  
D3                    D9                  
D2                    D10                 
D1                    D11                 
D6                    D12                 
D7                    D13                 
C28                   C1                  
C27                   C3                  
C25                   C7                  
C26                   C8                  
C34                   C9                  
C8                    C10                 
C23                   C12                 
C12                   C14                 
C9                    C15                 
C10                   C16                 
C15                   C18                 
C35                   C19                 
C19                   C20                 
C22                   C21                 
C21                   C22                 
C14                   C23                 
C18                   C24                 
C20                   C25                 
C16                   C26                 
C3                    C27                 
C24                   C28                 
C32                   C31                 
C33                   C32                 
C31                   C33                 
C1                    C34                 
U13                   U1                  
U14                   U2                  
U15                   U3                  
U18                   U4                  
U11                   U5                  
U12                   U6                  
U17                   U7                  
U2                    U8                  
U16                   U9                  
U6                    U10                 
U7                    U11                 
U8                    U12                 
U9                    U13                 
U5                    U14                 
U4                    U15                 
U3                    U16                 
U1                    U17                 
R52                   R1                  
R51                   R2                  
R50                   R3                  
R49                   R4                  
R48                   R13                 
R53                   R14                 
R54                   R15                 
R30                   R16                 
R55                   R17                 
R56                   R18                 
R60                   R19                 
R31                   R21                 
R57                   R22                 
R61                   R23                 
R28                   R24                 
R27                   R25                 
R29                   R26                 
R14                   R27                 
R59                   R28                 
R44                   R29                 
R4                    R30                 
R35                   R31                 
R33                   R32                 
R34                   R33                 
R15                   R34                 
R16                   R35                 
R43                   R36                 
R42                   R37                 
R32                   R38                 
R37                   R39                 
R38                   R40                 
R36                   R41                 
R17                   R42                 
R13                   R43                 
R1                    R44                 
R18                   R45                 
R3                    R46                 
R19                   R47                 
R2                    R48                 
R41                   R49                 
R40                   R50                 
R39                   R51                 
R58                   R52                 
R46                   R53                 
R47                   R54                 
IC5                   IC3                 
IC3                   IC4                 
IC4                   IC5                 
J5                    J1                  
J4                    J2                  
J1                    J3                  
J3                    J4                  
