"Component","Value","Description","Qty","Mfr","RS Order No.","RS Components","URL"
"+1V8","","Power","5","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"+3V3","","Power","7","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"0V","","Power","9","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"2mmElectrolyticCap","0.1uF","","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"06035C102KATDA","0.1uF","Capacitor, Surface Mount Multi-Layer Ceramic","5","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"A4","","","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"FROM","","Arrow L","10","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"R 0.1W SMTF 10K","10K","Thick Film Surface Mount Resistor","8","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"R 0.063W SMTF 33","33","Thick Film Surface Mount Resistor","12","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"SDBMF","","SD MEMORY CARD PUSH-PUSH WITH CONNECTOR TYPE B (BIG SWUÌTCH #3)KINGFONT PRECISION INDUSTIAL CO., LTDSource: http://www.farnell.com/datasheets/74273.pdfBest.-Nr.: 9186174Hersteller: MULTICOMPHerstellerbez.:  SDBMF-00915B0T2","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"SN74AVC4T774","","","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"TO","","Arrow R","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
