"Component","Value","Description","Qty","Mfr","RS Order No.","RS Components","URL"
"+5V","","Power","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"+5V_ISO","","Power","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"0V","","Power","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"0V_ISO","","Power","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"28PIN2ROW2.54mmCON","","","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"A4","","","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"F-1X02-SIP-100-40","","FEMALE HEADER","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"F-2X02-DIL-100","","FEMALE HEADER","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"F-2X04-DIL-100","","FEMALE HEADER","1","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"FROM","","Arrow L","31","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
"SM6T","","","2","","","RS Components","http://uk.rs-online.com/web/ComponentFinder"
